-3	0
-0.473366--0.369266	0.440000-0.480000
-0.473366--0.369266	0.480000-0.520000
-0.473366--0.369266	0.520000-0.560000
-0.473366--0.369266	0.560000-0.600000
-0.473366--0.369266	0.600000-0.640000
-0.473366--0.369266	0.640000-0.680000
-0.473366--0.369266	0.680000-0.720000
-0.473366--0.369266	0.720000-0.760000
-0.473366--0.369266	0.760000-0.800000
-0.473366--0.369266	0.800000-0.840000
-0.473366--0.369266	0.840000-0.880000
-0.473366--0.369266	0.880000-0.920000
-0.473366--0.369266	0.920000-0.960000
-0.473366--0.369266	0.960000-1.000000

-0.369266--0.274413	0.000000-0.038462
-0.369266--0.274413	0.038462-0.076923
-0.369266--0.274413	0.076923-0.115385
-0.369266--0.274413	0.115385-0.153846
-0.369266--0.274413	0.153846-0.192308
-0.369266--0.274413	0.192308-0.230769
-0.369266--0.274413	0.230769-0.269231
-0.369266--0.274413	0.269231-0.307692
-0.369266--0.274413	0.307692-0.346154
-0.369266--0.274413	0.346154-0.384615
-0.369266--0.274413	0.384615-0.423077
-0.369266--0.274413	0.423077-0.461538
-0.369266--0.274413	0.461538-0.500000
-0.369266--0.274413	0.500000-0.538462
-0.369266--0.274413	0.538462-0.576923
-0.369266--0.274413	0.576923-0.615385
-0.369266--0.274413	0.615385-0.653846
-0.369266--0.274413	0.653846-0.692308
-0.369266--0.274413	0.692308-0.730769
-0.369266--0.274413	0.730769-0.769231
-0.369266--0.274413	0.769231-0.807692
-0.369266--0.274413	0.807692-0.846154
-0.369266--0.274413	0.846154-0.884615
-0.369266--0.274413	0.884615-0.923077
-0.369266--0.274413	0.923077-0.961538
-0.369266--0.274413	0.961538-1.000000

-0.274413--0.190292	0.000000-0.037037
-0.274413--0.190292	0.037037-0.074074
-0.274413--0.190292	0.074074-0.111111
-0.274413--0.190292	0.111111-0.148148
-0.274413--0.190292	0.148148-0.185185
-0.274413--0.190292	0.185185-0.222222
-0.274413--0.190292	0.222222-0.259259
-0.274413--0.190292	0.259259-0.296296
-0.274413--0.190292	0.296296-0.333333
-0.274413--0.190292	0.333333-0.370370
-0.274413--0.190292	0.370370-0.407407
-0.274413--0.190292	0.407407-0.444444
-0.274413--0.190292	0.444444-0.481481
-0.274413--0.190292	0.481481-0.518519
-0.274413--0.190292	0.518519-0.555556
-0.274413--0.190292	0.555556-0.592593
-0.274413--0.190292	0.592593-0.629630
-0.274413--0.190292	0.629630-0.666667
-0.274413--0.190292	0.666667-0.703704
-0.274413--0.190292	0.703704-0.740741
-0.274413--0.190292	0.740741-0.777778
-0.274413--0.190292	0.777778-0.814815
-0.274413--0.190292	0.814815-0.851852
-0.274413--0.190292	0.851852-0.888889
-0.274413--0.190292	0.888889-0.925926
-0.274413--0.190292	0.925926-0.962963
-0.274413--0.190292	0.962963-1.000000

-0.190292--0.118600	0.000000-0.035714
-0.190292--0.118600	0.035714-0.071429
-0.190292--0.118600	0.071429-0.107143
-0.190292--0.118600	0.107143-0.142857
-0.190292--0.118600	0.142857-0.178571
-0.190292--0.118600	0.178571-0.214286
-0.190292--0.118600	0.214286-0.250000
-0.190292--0.118600	0.250000-0.285714
-0.190292--0.118600	0.285714-0.321429
-0.190292--0.118600	0.321429-0.357143
-0.190292--0.118600	0.357143-0.392857
-0.190292--0.118600	0.392857-0.428571
-0.190292--0.118600	0.428571-0.464286
-0.190292--0.118600	0.464286-0.500000
-0.190292--0.118600	0.500000-0.535714
-0.190292--0.118600	0.535714-0.571429
-0.190292--0.118600	0.571429-0.607143
-0.190292--0.118600	0.607143-0.642857
-0.190292--0.118600	0.642857-0.678571
-0.190292--0.118600	0.678571-0.714286
-0.190292--0.118600	0.714286-0.750000
-0.190292--0.118600	0.750000-0.785714
-0.190292--0.118600	0.785714-0.821429
-0.190292--0.118600	0.821429-0.857143
-0.190292--0.118600	0.857143-0.892857
-0.190292--0.118600	0.892857-0.928571
-0.190292--0.118600	0.928571-0.964286
-0.190292--0.118600	0.964286-1.000000

-0.118600--0.061316	0.000000-0.035714
-0.118600--0.061316	0.035714-0.071429
-0.118600--0.061316	0.071429-0.107143
-0.118600--0.061316	0.107143-0.142857
-0.118600--0.061316	0.142857-0.178571
-0.118600--0.061316	0.178571-0.214286
-0.118600--0.061316	0.214286-0.250000
-0.118600--0.061316	0.250000-0.285714
-0.118600--0.061316	0.285714-0.321429
-0.118600--0.061316	0.321429-0.357143
-0.118600--0.061316	0.357143-0.392857
-0.118600--0.061316	0.392857-0.428571
-0.118600--0.061316	0.428571-0.464286
-0.118600--0.061316	0.464286-0.500000
-0.118600--0.061316	0.500000-0.535714
-0.118600--0.061316	0.535714-0.571429
-0.118600--0.061316	0.571429-0.607143
-0.118600--0.061316	0.607143-0.642857
-0.118600--0.061316	0.642857-0.678571
-0.118600--0.061316	0.678571-0.714286
-0.118600--0.061316	0.714286-0.750000
-0.118600--0.061316	0.750000-0.785714
-0.118600--0.061316	0.785714-0.821429
-0.118600--0.061316	0.821429-0.857143
-0.118600--0.061316	0.857143-0.892857
-0.118600--0.061316	0.892857-0.928571
-0.118600--0.061316	0.928571-0.964286
-0.118600--0.061316	0.964286-1.000000

-0.061316--0.020803	0.000000-0.034483
-0.061316--0.020803	0.034483-0.068965
-0.061316--0.020803	0.068965-0.103448
-0.061316--0.020803	0.103448-0.137931
-0.061316--0.020803	0.137931-0.172414
-0.061316--0.020803	0.172414-0.206897
-0.061316--0.020803	0.206897-0.241379
-0.061316--0.020803	0.241379-0.275862
-0.061316--0.020803	0.275862-0.310345
-0.061316--0.020803	0.310345-0.344828
-0.061316--0.020803	0.344828-0.379310
-0.061316--0.020803	0.379310-0.413793
-0.061316--0.020803	0.413793-0.448276
-0.061316--0.020803	0.448276-0.482759
-0.061316--0.020803	0.482759-0.517241
-0.061316--0.020803	0.517241-0.551724
-0.061316--0.020803	0.551724-0.586207
-0.061316--0.020803	0.586207-0.620690
-0.061316--0.020803	0.620690-0.655172
-0.061316--0.020803	0.655172-0.689655
-0.061316--0.020803	0.689655-0.724138
-0.061316--0.020803	0.724138-0.758621
-0.061316--0.020803	0.758621-0.793103
-0.061316--0.020803	0.793103-0.827586
-0.061316--0.020803	0.827586-0.862069
-0.061316--0.020803	0.862069-0.896552
-0.061316--0.020803	0.896552-0.931034
-0.061316--0.020803	0.931034-0.965517
-0.061316--0.020803	0.965517-1.000000

-0.020803-0.000000	0.000000-0.034483
-0.020803-0.000000	0.034483-0.068965
-0.020803-0.000000	0.068965-0.103448
-0.020803-0.000000	0.103448-0.137931
-0.020803-0.000000	0.137931-0.172414
-0.020803-0.000000	0.172414-0.206897
-0.020803-0.000000	0.206897-0.241379
-0.020803-0.000000	0.241379-0.275862
-0.020803-0.000000	0.275862-0.310345
-0.020803-0.000000	0.310345-0.344828
-0.020803-0.000000	0.344828-0.379310
-0.020803-0.000000	0.379310-0.413793
-0.020803-0.000000	0.413793-0.448276
-0.020803-0.000000	0.448276-0.482759
-0.020803-0.000000	0.482759-0.517241
-0.020803-0.000000	0.517241-0.551724
-0.020803-0.000000	0.551724-0.586207
-0.020803-0.000000	0.586207-0.620690
-0.020803-0.000000	0.620690-0.655172
-0.020803-0.000000	0.655172-0.689655
-0.020803-0.000000	0.689655-0.724138
-0.020803-0.000000	0.724138-0.758621
-0.020803-0.000000	0.758621-0.793103
-0.020803-0.000000	0.793103-0.827586
-0.020803-0.000000	0.827586-0.862069
-0.020803-0.000000	0.862069-0.896552
-0.020803-0.000000	0.896552-0.931034
-0.020803-0.000000	0.931034-0.965517
-0.020803-0.000000	0.965517-1.000000


